"amt_New Deaths|Mitigated",date,dataKey,hospital_capacity,icu_capacity,"range_New Deaths|Mitigated",epi_week,"amt_Total Deaths|Mitigated","range_Total Deaths|Mitigated","amt_New Infectious|Mitigated","range_New Infectious|Mitigated","amt_Total Infectious|Mitigated","range_Total Infectious|Mitigated","amt_New Attack Rate|Mitigated","range_New Attack Rate|Mitigated","amt_Attack Rate|Mitigated","range_Attack Rate|Mitigated","amt_New Deaths per 10,000|Mitigated","range_New Deaths per 10,000|Mitigated","amt_Total Deaths per 10,000|Mitigated","range_Total Deaths per 10,000|Mitigated","amt_New Infectious per 10,000|Mitigated","range_New Infectious per 10,000|Mitigated","amt_Total Infectious per 10,000|Mitigated","range_Total Infectious per 10,000|Mitigated","amt_ICU beds needed|Mitigated","range_ICU beds needed|Mitigated","amt_Hospital beds needed|Mitigated","range_Hospital beds needed|Mitigated"
4.75774657123584,2020-03-20,"Hospital beds needed|Mitigated",8047,966,3.45154165971728|11.201142144391,2020-12,4.75774657123584,3.45154165971728|11.201142144391,11975.5991447169,10065.310996814|16711.3160387959,57167.2891728501,47535.6119817455|88917.757082721,0.00314287280574731,0.00264153733195317|0.00438571298954596,0.0150029669788092,0.0124752323784895|0.023335550673188,0.0124862164595508,0.00905821603507404|0.0293962453264368,0.0124862164595508,0.00905821603507404|0.0293962453264368,31.4287280574731,26.4153733195317|43.8571298954596,150.029669788092,124.752323784895|233.35550673188,81.5713971904398,61.3719769381314|167.928190344004,351.129997207921,279.675494714604|653.131625584613
5.63084959823908,2020-03-21,"Hospital beds needed|Mitigated",8047,966,4.15015050667387|12.9225314591659,2020-12,10.3885961694749,7.94846905687052|23.679757458489,14107.6163020437,11909.5295514847|19506.5679455803,71274.9054748937,59445.1415332301|106070.553105043,0.00370239877719776,0.00312553352064373|0.0051192980984732,0.0187053657560069,0.0156007658991332|0.0278371255430238,0.0147775855401489,0.010891643089889|0.0339138545083513,0.0272638019996996,0.0208599394020155|0.0621450875765233,37.0239877719776,31.2553352064373|51.192980984732,187.053657560069,156.007658991332|278.371255430238,99.7191676614839,73.5060679278915|191.326348028621,426.961559626059,342.579821852264|754.395561293925
6.77575530862201,2020-03-22,"Hospital beds needed|Mitigated",8047,966,5.07263797964212|14.9036295524798,2020-13,17.1643514780969,13.5694829661452|37.9895217244282,15970.3650277611,13220.0101537345|21624.0176733598,87245.2705026549,72665.1516869645|124457.195083768,0.00419125801866464,0.00346945567414092|0.0056750009978902,0.0228966237746716,0.0190702215732742|0.0326625105918747,0.0177822728036623,0.0133126165688765|0.0391130426639944,0.0450460748033619,0.0356117121882484|0.0996995918853247,41.9125801866464,34.6945567414092|56.750009978902,228.966237746716,190.702215732742|326.625105918747,120.526261021636,94.1063071859792|218.245927968124,517.424925225252,413.120890256422|870.347159192701
8.18676536379293,2020-03-23,"Hospital beds needed|Mitigated",8047,966,5.94383001213454|18.1593075075029,2020-13,25.3511168418899,19.6737339366025|55.2488414630822,16161.7004056684,13402.1664990769|21466.1520715261,103406.970908323,86067.3181860414|142603.34888718,0.00424147202038057,0.00351726073318247|0.00563357079461016,0.0271380957950521,0.0225874823064566|0.0374247819929521,0.0214853235466299,0.0155989704409599|0.0476572345540737,0.0665313983499918,0.0516316909322515|0.144994901119388,42.4147202038057,35.1726073318247|56.3357079461017,271.380957950521,225.874823064566|374.247819929521,145.534934004578,111.742659984684|249.514206231755,622.890753377413,504.712340233165|995.86676089119
9.83508957361552,2020-03-24,"Hospital beds needed|Mitigated",8047,966,7.36291390290916|20.4219900603023,2020-13,35.1862064155054,27.4087087757722|74.7007713324382,15220.8552656402,12569.0613159058|20187.6064669007,118627.826173963,98636.3795019472|162634.208418061,0.00399455689160237,0.00329862084778929|0.0052980296527327,0.0311326526866545,0.0258861031542459|0.0426816750247401,0.0258111808766089,0.0193232101349356|0.0535954121577965,0.0923425792266007,0.0719313367214901|0.196044490093542,39.9455689160237,32.9862084778929|52.980296527327,311.326526866545,258.861031542459|426.816750247401,173.653658269691,133.642273510034|290.410582738993,740.656477224924,595.820880759377|1123.0974212878
11.9114217724234,2020-03-25,"Hospital beds needed|Mitigated",8047,966,9.11477517903749|23.2876663476693,2020-13,47.0976281879288,37.4094122497302|97.6535133286853,14648.2633712537,12203.0265409675|19222.2669472876,133276.089545217,110839.406042915|181743.703991306,0.00384428603902022,0.00320255878640851|0.00504468622599956,0.0349769387256747,0.0290886619406544|0.0476967655636713,0.0312603011456433,0.023920789844853|0.0611160847895404,0.123602880372244,0.0981771542432891|0.256281600375546,38.4428603902022,32.0255878640851|50.4468622599956,349.769387256747,290.886619406544|476.967655636713,203.947788992971,160.947247101466|327.847215284227,865.572859221872,702.594696564972|1266.05909086837
14.4124963890593,2020-03-26,"Hospital beds needed|Mitigated",8047,966,11.2505996255993|27.9756079593729,2020-13,61.5101245769881,49.3568639497066|124.850102276208,14300.345069179,11979.5884990286|18541.1013888459,147576.434614396,122926.166011684|200162.64523106,0.00375297845958317,0.00314391977074899|0.00486592133215436,0.0387299171852579,0.0322607077611927|0.0525306272213252,0.0378241141981514,0.0295260413983093|0.0734191053134481,0.161426994570396,0.129532012227493|0.327656250427995,37.5297845958317,31.4391977074899|48.6592133215436,387.299171852579,322.607077611927|525.306272213252,234.217102941933,185.170233236765|354.495061648267,990.258288045259,797.97708927826|1392.03931266839
17.3787094812892,2020-03-27,"Hospital beds needed|Mitigated",8047,966,13.4855485682321|31.7808428868996,2020-13,78.8888340582772,63.9370820203101|154.533316487685,14008.4913240303,11801.2063504417|18120.6790697641,161584.925938426,134740.957385122|218095.307536708,0.00367638444639026,0.00309710521082179|0.00475558581928321,0.0424063016316481,0.0353613782215542|0.0572368699749443,0.0456086353323057,0.0353914349950323|0.0834055529464079,0.207035629902701,0.167796294725777|0.405556792693203,36.7638444639026,30.9710521082179|47.5558581928321,424.063016316481,353.613782215542|572.368699749443,264.067053461251,209.1932306941|382.286015293241,1109.52456853029,896.380042691301|1520.98775500801
21.0773017633544,2020-03-28,"Hospital beds needed|Mitigated",8047,966,16.8018094185119|36.6546337431625,2020-13,99.9661358216316,81.5636679912755|188.974303893274,13750.669266028,11440.918763965|17713.2995439326,175335.595204454,146181.876149087|235662.63612633,0.00360872169941409,0.00300255143993297|0.0046486732533329,0.0460150233310622,0.0383639296614872|0.0618472346528825,0.0553152103122956,0.0440946204617124|0.0961963156948471,0.262350840214997,0.214055456406846|0.495943621286965,36.0872169941409,30.0255143993297|46.486732533329,460.150233310622,383.639296614872|618.472346528825,293.082176675242,231.770390442179|410.654335737198,1220.48192858149,991.460327527743|1655.8947249432
25.4911583165819,2020-03-29,"Hospital beds needed|Mitigated",8047,966,19.8258913576227|40.9451924166912,2020-14,125.457294138214,101.756317623338|228.810537761701,13419.8502634468,11248.6511377194|17113.5421534677,188755.445467901,157430.527286806|252695.169507263,0.00352190165523321,0.00295209277923042|0.00449127309574916,0.0495369249862955,0.0413160224407176|0.0663172478295956,0.0668989227946294,0.0520310124316924|0.107456445575234,0.329249763009626,0.267048988202363|0.600489719227877,35.2190165523321,29.5209277923042|44.9127309574916,495.369249862955,413.160224407176|663.172478295956,320.139878301239,256.86342974842|445.871934105296,1322.76934901929,1070.52573052368|1805.00555878852
